"","title","title_type","genre","runtime","mpaa_rating","studio","thtr_rel_year","thtr_rel_month","thtr_rel_day","dvd_rel_year","dvd_rel_month","dvd_rel_day","imdb_rating","imdb_num_votes","critics_rating","critics_score","audience_rating","audience_score","best_pic_nom","best_pic_win","best_actor_win","best_actress_win","best_dir_win","top200_box","director","actor1","actor2","actor3","actor4","actor5","imdb_url","rt_url","genre_string"
"488","The Postman","Feature Film","Action & Adventure",177,"R","Warner Home Video",1997,12,25,1998,6,23,5.9,54597,"Rotten",9,"Spilled",49,"no","no","no","no","yes","no","Kevin Costner","Will Patton","Larenz Tate","Olivia Williams","James Russo","Daniel von Bargen","http://www.imdb.com/title/tt0119925/","//www.rottentomatoes.com/m/postman/","Action & A"
"489","Mixed Nuts","Feature Film","Comedy",97,"PG-13","Sony Pictures Home Entertainment",1994,12,21,2001,12,4,5.3,7862,"Rotten",7,"Spilled",46,"no","no","no","no","no","no","Nora Ephron","Steve Martin","Madeline Kahn","Rita Wilson","Anthony LaPaglia","Juliette Lewis","http://www.imdb.com/title/tt0110538/","//www.rottentomatoes.com/m/mixed_nuts/","Comedy"
"490","While You Were Sleeping","Feature Film","Drama",103,"PG","Buena Vista Pictures",1995,4,21,1998,2,3,6.6,68871,"Certified Fresh",80,"Upright",79,"no","no","no","yes","no","no","Jon Turteltaub","Sandra Bullock","Bill Pullman","Peter Gallagher","Peter Boyle","Jack Warden","http://www.imdb.com/title/tt0114924/","//www.rottentomatoes.com/m/while_you_were_sleeping/","Drama"
"491","No Country for Old Men","Feature Film","Drama",122,"R","Miramax Films",2007,11,21,2009,4,7,8.1,582091,"Certified Fresh",93,"Upright",86,"yes","yes","no","no","yes","no","Joel Coen","Tommy Lee Jones","Javier Bardem","Josh Brolin","Woody Harrelson","Kelly Macdonald","http://www.imdb.com/title/tt0477348/","//www.rottentomatoes.com/m/no_country_for_old_men/","Drama"
"492","Pootie Tang","Feature Film","Comedy",81,"PG-13","Paramount Pictures",2001,6,29,2001,11,27,5.1,11156,"Rotten",29,"Upright",63,"no","no","no","no","no","no","Louis C.K.","Lance Crouther","Jennifer Coolidge","Wanda Sykes","Robert Vaughn","Chris Rock","http://www.imdb.com/title/tt0258038/","//www.rottentomatoes.com/m/pootie_tang/","Comedy"
"493","Sans Soleil","Documentary","Documentary",100,"R","Criterion Collection",1983,2,1,1993,6,16,8.2,6345,"Fresh",92,"Upright",88,"no","no","no","no","no","no","Chris Marker","Florence Delay","Alexandra Stewart","Kazuko Kawakita","Hayao Shibata","Ichiro Hagiwara","http://www.imdb.com/title/tt0084628/","//www.rottentomatoes.com/m/sans_soleil/","Documentar"
"494","The Secret Life of Words","Feature Film","Art House & International",115,"Unrated","Strand Releasing",2006,12,22,2007,5,8,7.5,9990,"Fresh",71,"Upright",86,"no","no","no","no","no","no","Isabel Coixet","Sarah Polley","Tim Robbins","Javier Camara","Sverre Anker Ousdal","Dean Lennox Kelly","http://www.imdb.com/title/tt0430576/","//www.rottentomatoes.com/m/the_secret_life_of_words/","Art House "
"495","Dare","Feature Film","Drama",92,"R","Image Entertainment",2009,11,13,2010,2,9,5.9,3473,"Fresh",60,"Spilled",34,"no","no","no","no","no","no","Adam Salky","Emmy Rossum","Zach Gilford","Ashley Springer","Ana Gasteyer","Alan Cumming","http://www.imdb.com/title/tt1241316/","//www.rottentomatoes.com/m/dare/","Drama"
"496","Formula 51","Feature Film","Action & Adventure",93,"R","Screen Gems",2002,10,18,2003,2,4,6.3,42295,"Rotten",25,"Spilled",59,"no","no","no","no","no","no","Ronny Yu","Samuel L. Jackson","Robert Carlyle","Emily Mortimer","Rhys Ifans","Sean Pertwee","http://www.imdb.com/title/tt0227984/","//www.rottentomatoes.com/m/formula_51/","Action & A"
"497","The Fifth Element","Feature Film","Drama",126,"PG-13","Sony Pictures Home Entertainment",1997,5,9,1997,12,9,7.6,329613,"Fresh",71,"Upright",87,"no","no","no","no","no","no","Luc Besson","Bruce Willis","Ian Holm","Gary Oldman","Chris Tucker","Luke Perry","http://www.imdb.com/title/tt0119116/","//www.rottentomatoes.com/m/fifth_element/","Drama"
"498","The Frozen Ground","Feature Film","Mystery & Suspense",105,"R","The Film Arcade",2013,8,23,2013,10,1,6.4,42408,"Fresh",60,"Spilled",50,"no","no","yes","no","no","no","Scott Walker","Nicolas Cage","John Cusack","Vanessa Hudgens","Dean Norris","50 Cent","http://www.imdb.com/title/tt2005374/","//www.rottentomatoes.com/m/the_frozen_ground/","Mystery & "
"499","Ice Age: Continental Drift","Feature Film","Action & Adventure",88,"PG","20th Century Fox",2012,7,13,2012,12,11,6.7,137222,"Rotten",37,"Upright",62,"no","no","no","no","no","no","Michael Thurmeier","Ray Romano","John Leguizamo","Denis Leary","Queen Latifah","Seann William Scott","http://www.imdb.com/title/tt1667889/","//www.rottentomatoes.com/m/ice_age_continental_drift/","Action & A"
"500","Showtime","Feature Film","Comedy",95,"PG-13","Warner Bros. Pictures",2002,3,15,2002,8,13,5.5,51366,"Rotten",25,"Spilled",25,"no","no","yes","no","no","no","Tom Dey","Robert De Niro","Eddie Murphy","Rene Russo","Pedro Damien","Pedro Damian","http://www.imdb.com/title/tt0284490/","//www.rottentomatoes.com/m/1113375-showtime/","Comedy"
"501","The Greatest Game Ever Played","Feature Film","Drama",120,"PG","Buena Vista Pictures",2005,9,30,2006,4,11,7.5,21623,"Fresh",63,"Upright",82,"no","no","no","no","no","no","Bill Paxton","Shia LaBeouf","Stephen Dillane","Elias Koteas","Josh Flitter","Peyton List","http://www.imdb.com/title/tt0388980/","//www.rottentomatoes.com/m/greatest_game_ever_played/","Drama"
"502","Grizzly Man","Documentary","Documentary",103,"R","Lions Gate Releasing",2005,8,12,2005,12,26,7.8,39320,"Certified Fresh",93,"Upright",85,"no","no","no","no","no","no","Werner Herzog","Timothy Treadwell","Timothy Treadwell","Amie Huguenard","Warren Queeney","Franc Falico","http://www.imdb.com/title/tt0427312/","//www.rottentomatoes.com/m/grizzly_man/","Documentar"
"503","Galaxina","Feature Film","Science Fiction & Fantasy",95,"R","Crown International Pictures",1980,6,6,2000,2,29,3.4,1915,"Rotten",17,"Spilled",26,"no","no","no","no","no","no","William Sachs","Stephen Macht","Dorothy Stratten","Avery Schreiber","James David Hinton","Ronald J. Knight","http://www.imdb.com/title/tt0080771/","//www.rottentomatoes.com/m/galaxina/","Science Fi"
"504","Oh, God! Book II","Feature Film","Comedy",94,"PG","WARNER BROTHERS PICTURES",1980,10,3,2005,2,15,5.1,1674,"Rotten",50,"Spilled",38,"no","no","no","no","no","no","Gilbert Cates","George Burns","Suzanne Pleshette","Tracy Richards","David Birney","Louanne","http://www.imdb.com/title/tt0081268/","//www.rottentomatoes.com/m/oh_god_book_ii/","Comedy"
"505","Micki + Maude","Feature Film","Comedy",118,"PG-13","Sony Pictures Entertainment",1984,12,21,2003,11,4,5.9,2096,"Fresh",67,"Spilled",45,"no","no","no","no","no","no","Blake Edwards","Dudley Moore","Amy Irving","Ann Reinking","Richard Mulligan","George Gaynes","http://www.imdb.com/title/tt0087718/","//www.rottentomatoes.com/m/micki_and_maude/","Comedy"
"506","Bootmen","Feature Film","Drama",95,"R","Twentieth Century Fox Home Entertainment",2000,10,6,2004,9,7,6.2,1935,"Rotten",35,"Upright",70,"no","no","no","no","no","no","Dein Perry","Adam Garcia","Sophie Lee","Sam Worthington","William Zappa","Richard Carter","http://www.imdb.com/title/tt0210584/","//www.rottentomatoes.com/m/bootmen/","Drama"
"507","My Dinner with Andre","Feature Film","Drama",110,"PG","New Yorker Films",1981,10,11,2001,2,13,7.8,10522,"Fresh",91,"Upright",86,"no","no","no","no","no","no","Louis Malle","Jean Lenauer","Roy Butler","Andre Gregory","Wallace Shawn",NA,"http://www.imdb.com/title/tt0082783/","//www.rottentomatoes.com/m/my_dinner_with_andre/","Drama"
"508","Mother's Boys","Feature Film","Mystery & Suspense",96,"R","Miramax",1993,1,1,2001,5,15,5.4,2380,"Rotten",43,"Spilled",28,"no","no","no","no","no","no","Yves Simoneau","Jamie Lee Curtis","Peter Gallagher","Joanne Whalley","Vanessa Redgrave","Luke Edwards","http://www.imdb.com/title/tt0107606/","//www.rottentomatoes.com/m/mothers_boys/","Mystery & "
"509","Robin Hood","Feature Film","Action & Adventure",83,"G","Buena Vista Pictures",1973,11,8,2000,7,4,7.6,78862,"Rotten",50,"Upright",81,"no","no","no","no","no","no","Wolfgang Reitherman","Brian Bedford","Phil Harris","Monica Evans","Peter Ustinov","Terry-Thomas","http://www.imdb.com/title/tt0070608/","//www.rottentomatoes.com/m/1017699-robin_hood/","Action & A"
"510","Ghost Rider: Spirit of Vengeance","Feature Film","Action & Adventure",96,"PG-13","Sony Pictures",2012,2,17,2012,6,12,4.3,83724,"Rotten",17,"Spilled",32,"no","no","yes","no","no","no","Brian Taylor","Nicolas Cage","Ciaran Hinds","Violante Placido","Idris Elba","Johnny Whitworth","http://www.imdb.com/title/tt1071875/","//www.rottentomatoes.com/m/ghost_rider_spirit_of_vengeance/","Action & A"
"511","Naked Lunch","Feature Film","Drama",115,"R","Twentieth Century Fox Home Entertainment",1991,12,27,2003,11,11,7.1,34298,"Fresh",71,"Upright",77,"no","no","no","no","no","no","David Cronenberg","Peter Weller","Judy Davis","Ian Holm","Julian Davis","Roy Scheider","http://www.imdb.com/title/tt0102511/","//www.rottentomatoes.com/m/naked_lunch/","Drama"
"512","Theremin: An Electronic Odyssey","Documentary","Documentary",83,"PG","Kaga Bay",1994,1,29,2006,4,18,7.4,830,"Fresh",100,"Upright",72,"no","no","no","no","no","no","Steven M. Martin","Leon Theremin","Clara Rockmore","Todd Rundgren","Brian Wilson","Robert Moog","http://www.imdb.com/title/tt0108323/","//www.rottentomatoes.com/m/theremin_an_electronic_odyssey/","Documentar"
"513","The Whole Wide World","Feature Film","Drama",111,"PG","Sony Entertainment",1996,12,1,2003,7,29,7.3,2869,"Fresh",81,"Upright",72,"no","no","no","no","no","no","Dan Ireland","Vincent D'Onofrio","Renee Zellweger","Ann Wedgeworth","Harve Presnell","Benjamin Mouton","http://www.imdb.com/title/tt0118163/","//www.rottentomatoes.com/m/whole_wide_world/","Drama"
"514","Hostel","Feature Film","Horror",94,"R","Lions Gate Films",2006,1,6,2006,4,18,5.9,134510,"Fresh",61,"Spilled",53,"no","no","no","no","no","no","Eli Roth","Jay Hernandez","Derek Richardson","Eythor Gudjonsson","Shane Daly","Barbara Nedeljakova","http://www.imdb.com/title/tt0450278/","//www.rottentomatoes.com/m/hostel/","Horror"
"515","Swordfish","Feature Film","Drama",99,"R","Warner Bros. Pictures",2001,6,8,2001,10,30,6.5,152216,"Rotten",26,"Upright",60,"no","no","no","yes","no","no","Dominic Sena","John Travolta","Hugh Jackman","Halle Berry","Don Cheadle","Vinnie Jones","http://www.imdb.com/title/tt0244244/","//www.rottentomatoes.com/m/swordfish/","Drama"
"516","Dark Skies","Feature Film","Mystery & Suspense",97,"PG-13","The Weinstein Company",2013,2,22,2013,5,28,6.3,54771,"Rotten",40,"Spilled",49,"no","no","no","no","no","no","Scott Stewart","Keri Russell","Josh Hamilton","Dakota Goyo","Kadan Rockett","J.K. Simmons","http://www.imdb.com/title/tt2387433/","//www.rottentomatoes.com/m/dark_skies_2013/","Mystery & "
"517","The Distinguished Gentleman","Feature Film","Comedy",112,"R","Hollywood Pictures",1992,12,4,1999,11,16,5.8,11838,"Rotten",13,"Spilled",36,"no","no","no","no","no","no","Jonathan Lynn","Eddie Murphy","Lane Smith","Sheryl Lee Ralph","Joe Don Baker","Victoria Rowell","http://www.imdb.com/title/tt0104114/","//www.rottentomatoes.com/m/the-distinguished-gentleman/","Comedy"
"518","The Time Traveler's Wife","Feature Film","Drama",107,"PG-13","Warner Bros. Pictures",2009,8,14,2010,2,9,7.1,110540,"Rotten",38,"Spilled",59,"no","no","no","no","no","no","Robert Schwentke","Rachel McAdams","Eric Bana","Arliss Howard","Ron Livingston","Stephen Tobolowsky","http://www.imdb.com/title/tt0452694/","//www.rottentomatoes.com/m/time_travelers_wife/","Drama"
"519","Breathless","Feature Film","Drama",100,"R","Orion Pictures Corporation",1983,5,13,2001,5,15,5.7,6343,"Fresh",67,"Spilled",49,"no","no","no","no","no","no","Jim McBride","Richard Gere","Valerie Kaprisky","Art Metrano","John P. Ryan","William Tepper","http://www.imdb.com/title/tt0085276/","//www.rottentomatoes.com/m/1003066-breathless/","Drama"
"520","Love Actually","Feature Film","Comedy",135,"R","Universal Pictures",2003,11,7,2004,4,27,7.7,309494,"Fresh",63,"Upright",73,"no","no","yes","yes","no","no","Richard Curtis","Bill Nighy","Hugh Grant","Liam Neeson","Emma Thompson","Colin Firth","http://www.imdb.com/title/tt0314331/","//www.rottentomatoes.com/m/love_actually/","Comedy"
"521","Oh, God!","Feature Film","Science Fiction & Fantasy",98,"PG","Warner Home Video",1977,10,7,2002,7,9,6.5,6909,"Fresh",72,"Spilled",59,"no","no","no","no","no","no","Carl Reiner","George Burns","John Denver","Teri Garr","Donald Pleasence","Ralph Bellamy","http://www.imdb.com/title/tt0076489/","//www.rottentomatoes.com/m/oh_god/","Science Fi"
"522","Bookies","Feature Film","Drama",88,"R","MGM Home Entertainment",2004,9,1,2004,8,31,6,1890,"Fresh",67,"Spilled",49,"no","no","no","no","no","no","Mark Illsley","Nick Stahl","Lukas Haas","Johnny Galecki","Rachael Leigh Cook","David Proval","http://www.imdb.com/title/tt0302361/","//www.rottentomatoes.com/m/bookies/","Drama"
"523","Live and Let Die","Feature Film","Mystery & Suspense",121,"PG","MGM Home Entertainment",1973,6,27,1999,10,19,6.8,72176,"Fresh",66,"Upright",65,"no","no","no","no","no","no","Guy Hamilton","Roger Moore","Yaphet Kotto","Jane Seymour","Julius W. Harris","Clifton James","http://www.imdb.com/title/tt0070328/","//www.rottentomatoes.com/m/live_and_let_die/","Mystery & "
"524","What's Cooking?","Feature Film","Drama",109,"PG-13","Trimark Pictures",2000,1,20,2001,4,10,7.1,2271,"Rotten",52,"Upright",64,"no","no","no","no","no","no","Gurinder Chadha","Kyra Sedgwick","Mercedes Ruehl","Julianna Margulies","Alfre Woodard","Joan Chen","http://www.imdb.com/title/tt0197096/","//www.rottentomatoes.com/m/whats_cooking/","Drama"
"525","The Funeral","Feature Film","Drama",99,"R","Echo Bridge Home Entertainment",1996,11,1,2000,7,11,6.6,6804,"Fresh",79,"Upright",68,"no","no","no","no","no","no","Abel Ferrara","Christopher Walken","Chris Penn","Vincent Gallo","Benicio Del Toro","Annabella Sciorra","http://www.imdb.com/title/tt0116378/","//www.rottentomatoes.com/m/1074517-funeral/","Drama"
"526","Safe House","Feature Film","Mystery & Suspense",115,"R","Universal Pictures",2012,2,10,2012,6,5,6.8,161101,"Rotten",53,"Upright",64,"no","no","no","no","no","no","Daniel Espinosa","Ryan Reynolds","Vera Farmiga","Brendan Gleeson","Sam Shepard","Ruben Blades","http://www.imdb.com/title/tt1599348/","//www.rottentomatoes.com/m/safe_house_2012/","Mystery & "
"527","Welcome to Mooseport","Feature Film","Comedy",110,"PG-13","20th Century Fox",2004,2,20,2004,5,25,5.2,10535,"Rotten",13,"Spilled",19,"no","no","yes","no","no","no","Donald Petrie","Ray Romano","Gene Hackman","Marcia Gay Harden","Maura Tierney","Christine Baranski","http://www.imdb.com/title/tt0361925/","//www.rottentomatoes.com/m/welcome_to_mooseport/","Comedy"
"528","Trainspotting","Feature Film","Drama",94,"R","Miramax Films",1996,7,19,1998,3,24,8.2,448434,"Certified Fresh",89,"Upright",93,"no","no","no","no","yes","no","Danny Boyle","Ewan McGregor","Ewen Bremner","Jonny Lee Miller","Kevin Mckidd","Robert Carlyle","http://www.imdb.com/title/tt0117951/","//www.rottentomatoes.com/m/trainspotting/","Drama"
"529","I Wanna Hold Your Hand","Feature Film","Drama",104,"PG","Universal",1978,1,1,2004,9,28,6.9,2931,"Fresh",83,"Upright",76,"no","no","no","no","yes","no","Robert Zemeckis","Nancy Allen","Bobby Di Cicco","Marc McClure","Susan Kendall Newman","Wendie Jo Sperber","http://www.imdb.com/title/tt0077714/","//www.rottentomatoes.com/m/i_wanna_hold_your_hand/","Drama"
"530","UHF","Feature Film","Other",97,"PG","Orion Pictures Corporation",1989,1,1,2002,6,4,7,21009,"Fresh",63,"Upright",77,"no","no","no","no","no","no","Jay Levey","Victoria Jackson","Weird Al Yankovic","Kevin McCarthy","Michael Richards","David Bowe","http://www.imdb.com/title/tt0098546/","//www.rottentomatoes.com/m/uhf/","Other"
"531","Lola Versus","Feature Film","Comedy",87,"R","Fox Searchlight Pictures",2012,6,8,2012,9,11,5.4,6811,"Rotten",35,"Spilled",31,"no","no","no","no","no","no","Daryl Wein","Greta Gerwig","Joel Kinnaman","Zoe Lister Jones","Hamish Linklater","Bill Pullman","http://www.imdb.com/title/tt1710417/","//www.rottentomatoes.com/m/lola_versus/","Comedy"
"532","Countdown to Zero","Documentary","Documentary",89,"PG","Magnolia Pictures",2010,7,23,2010,11,23,6.9,1943,"Certified Fresh",81,"Upright",72,"no","no","no","no","no","no","Lucy Walker","Valerie Plame Wilson","Valerine Plame Wilson","Rolf Mowatt-Larssen","Lawrence Scott Sheets","Zia Mian","http://www.imdb.com/title/tt1572769/","//www.rottentomatoes.com/m/countdown_to_zero/","Documentar"
"533","The Imposter","Documentary","Documentary",99,"R","Indomina Films",2012,7,13,2013,1,22,7.5,32338,"Certified Fresh",95,"Upright",78,"no","no","no","no","no","no","Bart Layton","Frederic Bourdin","Carey Gibson","Beverly Dollarhide","Nancy Fisher","Bruce Perry","http://www.imdb.com/title/tt1966604/","//www.rottentomatoes.com/m/the_imposter_2012/","Documentar"
"534","The Perfect Score","Feature Film","Drama",93,"PG-13","Paramount Pictures",2004,1,30,2004,6,29,5.7,19161,"Rotten",17,"Spilled",44,"no","no","no","no","no","no","Brian Robbins","Erika Christensen","Scarlett Johansson","Chris Evans","Bryan Greenberg","Darius Miles","http://www.imdb.com/title/tt0314498/","//www.rottentomatoes.com/m/perfect_score/","Drama"
"535","A Perfect Getaway","Feature Film","Mystery & Suspense",98,"R","Universal Pictures",2009,8,7,2009,12,29,6.5,54871,"Fresh",61,"Spilled",52,"no","no","no","no","no","no","David Twohy","Steve Zahn","Timothy Olyphant","Milla Jovovich","Kiele Sanchez","Marley Shelton","http://www.imdb.com/title/tt0971209/","//www.rottentomatoes.com/m/a_perfect_getaway/","Mystery & "
"536","Death Line (Raw Meat)","Feature Film","Horror",87,"R",NA,1972,1,1,2003,8,26,6,2433,"Fresh",86,"Spilled",44,"no","no","no","no","no","no","Gary Sherman","Hugh Armstrong","James Cossins","Sharon Gurney","David Ladd","Christopher Lee","http://www.imdb.com/title/tt0068458/","//www.rottentomatoes.com/m/death_line/","Horror"
"537","Things to Do in Denver...When You're Dead","Feature Film","Drama",115,"R","Miramax",1995,12,1,1999,6,29,6.8,21924,"Rotten",33,"Upright",73,"no","no","no","no","no","no","Gary Fleder","Andy Garcia","Christopher Lloyd","William Forsythe","Bill Nunn","Treat Williams","http://www.imdb.com/title/tt0114660/","//www.rottentomatoes.com/m/things_to_do_in_denverwhen_youre_dead/","Drama"
"538","Mad Max 2: The Road Warrior","Feature Film","Action & Adventure",95,"R","Warner Bros. Pictures",1981,12,24,1997,9,25,7.6,128298,"Certified Fresh",98,"Upright",85,"no","no","no","no","no","no","George Miller","Mel Gibson","Bruce Spence","Vernon Wells","Emil Minty","Mike Preston","http://www.imdb.com/title/tt0082694/","//www.rottentomatoes.com/m/mad_max_2_the_road_warrior_1981/","Action & A"
"539","My Girl 2","Feature Film","Drama",99,"PG","Sony Pictures Home Entertainment",1996,6,1,2002,12,3,5.1,14559,"Rotten",27,"Spilled",46,"no","no","no","no","no","no","Howard Zieff","Anna Chlumsky","Dan Aykroyd","Jamie Lee Curtis","Richard Masur","Austin O'Brien","http://www.imdb.com/title/tt0110613/","//www.rottentomatoes.com/m/my-girl-2/","Drama"
"540","Candy","Feature Film","Drama",116,"R","ThinkFilm",2006,11,17,2007,3,27,7.3,34926,"Rotten",49,"Upright",77,"no","no","yes","no","no","no","Neil Armfield","Heath Ledger","Abbie Cornish","Geoffrey Rush","Tony Martin","Noni Hazelhurst","http://www.imdb.com/title/tt0424880/","//www.rottentomatoes.com/m/candy/","Drama"
"541","The Secret Garden","Feature Film","Drama",101,"G","WARNER BROTHERS PICTURES",1993,3,18,2000,1,1,7.3,27097,"Certified Fresh",85,"Upright",80,"no","no","no","yes","no","no","Agnieszka Holland","Kate Maberly","Maggie Smith","Heydon Prowse","Andrew Knott","Laura Crossley","http://www.imdb.com/title/tt0108071/","//www.rottentomatoes.com/m/1045518-secret_garden/","Drama"
"542","Get on the Bus","Feature Film","Drama",120,"R","Sony Pictures Home Entertainment",1996,10,16,2001,1,30,6.8,4021,"Certified Fresh",88,"Upright",71,"no","no","no","no","no","no","Spike Lee","Ossie Davis","Charles S. Dutton","Andre Braugher","Richard Belzer","De'aundre Bonds","http://www.imdb.com/title/tt0116404/","//www.rottentomatoes.com/m/get_on_the_bus/","Drama"
"543","Ghosts of Abu Ghraib","Documentary","Documentary",78,"Unrated","HBO Video",2007,6,1,2007,6,5,8,764,"Fresh",100,"Upright",91,"no","no","no","no","no","no","Rory Kennedy","Alberto Mora","John Yoo","Scott Horton","Mark Danner","Alfred McCoy","http://www.imdb.com/title/tt0912585/","//www.rottentomatoes.com/m/1175777-ghosts_of_abu_ghraib/","Documentar"
"544","Punchline","Feature Film","Drama",128,"R","Sony Pictures Home Entertainment",1988,9,30,2002,7,9,5.8,6418,"Rotten",50,"Spilled",42,"no","no","yes","yes","no","no","David Seltzer","Tom Hanks","Sally Field","John Goodman","Mark Rydell","Paul Mazursky","http://www.imdb.com/title/tt0095927/","//www.rottentomatoes.com/m/punchline/","Drama"
"545","Bridget Jones - The Edge of Reason","Feature Film","Drama",108,"R","Miramax Films",2004,11,12,2005,3,22,5.9,70737,"Rotten",27,"Upright",61,"no","no","yes","no","no","no","Beeban Kidron","Colin Firth","Renee Zellweger","Hugh Grant","Jim Broadbent","Gemma Jones","http://www.imdb.com/title/tt0317198/","//www.rottentomatoes.com/m/bridget_jones_the_edge_of_reason/","Drama"
"546","Code Name: The Cleaner","Feature Film","Action & Adventure",84,"PG-13","New Line Cinema",2007,1,5,2007,4,24,4.5,9656,"Rotten",4,"Spilled",37,"no","no","no","no","no","no","Les Mayfield","Lucy Liu","Cedric the Entertainer","Nicollette Sheridan","Mark Dacascos","Callum Keith Rennie","http://www.imdb.com/title/tt0462229/","//www.rottentomatoes.com/m/code_name_the_cleaner/","Action & A"
"547","Fast & Furious","Feature Film","Mystery & Suspense",107,"PG-13","Universal Pictures",2009,4,3,2009,7,27,6.6,193702,"Rotten",28,"Upright",67,"no","no","no","no","no","no","Justin Lin","Vin Diesel","Paul Walker","Michelle Rodriguez","John Ortiz","Jordana Brewster","http://www.imdb.com/title/tt1013752/","//www.rottentomatoes.com/m/fast_and_furious/","Mystery & "
"548","House of 1000 Corpses","Feature Film","Horror",89,"R","Lions Gate Films Inc.",2003,4,11,2003,8,12,6,59076,"Rotten",19,"Upright",65,"no","no","no","no","no","no","Rob Zombie","Sid Haig","Bill Moseley","Chris Hardwick","Erin Daniels","Dennis Fimple","http://www.imdb.com/title/tt0251736/","//www.rottentomatoes.com/m/house_of_1000_corpses/","Horror"
"549","What Women Want","Feature Film","Comedy",127,"PG-13","Paramount Pictures",2001,5,1,2001,5,8,6.4,154148,"Rotten",54,"Spilled",54,"no","no","no","yes","no","no","Nancy Meyers","Helen Hunt","Mel Gibson","Marisa Tomei","Alan Alda","Ashley Johnson","http://www.imdb.com/title/tt0207201/","//www.rottentomatoes.com/m/what_women_want/","Comedy"
"550","River's Edge","Feature Film","Drama",99,"R","Island",1987,5,8,2001,1,23,7.1,11377,"Fresh",87,"Upright",76,"no","no","no","no","no","no","Tim Hunter","Crispin Glover","Dennis Hopper","Keanu Reeves","Daniel Roebuck","Ione Skye","http://www.imdb.com/title/tt0091860/","//www.rottentomatoes.com/m/rivers_edge/","Drama"
"551","The Babysitter","Feature Film","Mystery & Suspense",90,"R","Paramount",1995,10,17,2002,3,26,4.2,3302,"Rotten",17,"Spilled",15,"no","no","no","no","no","no","Guy Ferland","Alicia Silverstone","J.T. Walsh","Lee Garlington","Nicky Katt","Jeremy London","http://www.imdb.com/title/tt0112438/","//www.rottentomatoes.com/m/1061044-babysitter/","Mystery & "
"552","Saint of 9/11","Documentary","Documentary",90,"Unrated","IFC",2006,9,6,2006,9,12,7.8,180,"Fresh",84,"Upright",79,"no","no","no","no","no","no","Glenn Holsten","Ian McKellen",NA,NA,NA,NA,"http://www.imdb.com/title/tt0795458/","//www.rottentomatoes.com/m/saint_of_911/","Documentar"
"553","Black Death","Feature Film","Drama",102,"R","Magnet Releasing",2011,3,11,2011,5,10,6.4,34253,"Fresh",68,"Spilled",49,"no","no","yes","no","no","no","Christopher Smith","Sean Bean","Eddie Redmayne","Carice van Houten","John Lynch","Tim McInnerny","http://www.imdb.com/title/tt1181791/","//www.rottentomatoes.com/m/black_death-2010/","Drama"
"554","Little Manhattan","Feature Film","Drama",84,"PG","20th Century Fox",2005,9,30,2006,4,4,7.6,17960,"Fresh",77,"Upright",86,"no","no","no","no","no","no","Mark Levin","Josh Hutcherson","Bradley Whitford","Cynthia Nixon","Charlie Ray","Willie Garson","http://www.imdb.com/title/tt0412922/","//www.rottentomatoes.com/m/little_manhattan/","Drama"
"555","In Search of Beethoven","Documentary","Musical & Performing Arts",139,"Unrated","Seventh Art Productions",2009,4,17,2010,4,27,7.5,281,"Fresh",92,"Upright",77,"no","no","no","no","no","no","Phil Grabsky","Juliet Stevenson","David P. Dawson","Emanuel Ax","Roger Norrington","Jonathan Biss","http://www.imdb.com/title/tt1308123/","//www.rottentomatoes.com/m/in_search_of_beethoven/","Musical & "
"556","Taps","Feature Film","Drama",126,"PG","20th Century Fox Film Corporation",1981,12,9,2002,3,5,6.7,12498,"Fresh",75,"Upright",67,"no","no","yes","no","no","no","Harold Becker","Timothy Hutton","George C. Scott","Ronny Cox","Sean Penn","Tom Cruise","http://www.imdb.com/title/tt0083169/","//www.rottentomatoes.com/m/taps/","Drama"
"557","Planes, Trains and Automobiles","Feature Film","Comedy",93,"R","Paramount Pictures",1987,11,25,2000,11,21,7.6,86831,"Certified Fresh",94,"Upright",87,"no","no","no","no","no","no","John Hughes","Steve Martin","John Candy","William Windom","Michael McKean","Edie McClurg","http://www.imdb.com/title/tt0093748/","//www.rottentomatoes.com/m/planes_trains_and_automobiles/","Comedy"
"558","Mirrors","Feature Film","Mystery & Suspense",110,"R","Buena Vista",2008,8,15,2009,1,13,6.2,83424,"Rotten",14,"Spilled",44,"no","no","no","no","no","no","Alexandre Aja","Kiefer Sutherland","Paula Patton","Erica Gluck","Cameron Boyce","Ezra Buzzington","http://www.imdb.com/title/tt0790686/","//www.rottentomatoes.com/m/1197016-mirrors/","Mystery & "
"559","A Shot at Glory","Feature Film","Drama",114,"R","Fireworks Pictures",2001,6,8,2002,11,19,6.3,1803,"Fresh",67,"Upright",65,"no","no","no","no","no","no","Michael Corrente","Michael Keaton","Ally McCoist","Kirsty Mitchell","Brian Cox","Cole Hauser","http://www.imdb.com/title/tt0193854/","//www.rottentomatoes.com/m/a_shot_at_glory_2001/","Drama"
"560","Flipped","Feature Film","Drama",90,"PG","Warner Bros. Pictures",2010,8,6,2010,11,23,7.7,56919,"Rotten",55,"Upright",78,"no","no","no","no","no","no","Rob Reiner","Madeline Carroll","Callan McAuliffe","Rebecca De Mornay","Anthony Edwards","John Mahoney","http://www.imdb.com/title/tt0817177/","//www.rottentomatoes.com/m/flipped/","Drama"
